c1,c2,c3,c4,c5
99,1,6,6,7
98,2,8,8,9
97,3,9,10,11
96,4,10,12,13
95,5,11,13,14
94,6,12,14,15
93,7,13,15,16
92,8,14,16,17
91,9,15,17,18
90,10,16,17,19
89,11,16,18,20
88,12,17,19,21
87,13,17,20,21
86,14,18,20,22
85,15,18,21,23
84,16,19,21,23
83,17,19,22,24
82,18,20,22,24
81,19,20,23,25
80,20,21,23,25
79,21,21,24,26
78,22,21,24,26
77,23,22,24,27
76,24,22,25,27
75,25,22,25,27
74,26,23,25,28
73,27,23,26,28
72,28,23,26,28
71,29,23,26,29
70,30,24,26,29
69,31,24,27,29
68,32,24,27,29
67,33,24,27,30
66,34,24,27,30
65,35,25,27,30
64,36,25,28,30
63,37,25,28,30
62,38,25,28,31
61,39,25,28,31
60,40,25,28,31
59,41,25,28,31
58,42,25,28,31
57,43,25,28,31
56,44,26,29,31
55,45,26,29,31
54,46,26,29,31
53,47,26,29,31
52,48,26,29,31
51,49,26,29,31
50,50,26,29,31
