c1,c2,c3,c4,c5
99,1,5,6,6
98,2,7,8,9
97,3,9,10,11
96,4,10,11,12
95,5,11,12,13
94,6,12,13,15
93,7,13,14,16
92,8,14,15,17
91,9,14,16,17
90,10,15,17,18
89,11,16,17,19
88,12,16,18,20
87,13,17,19,20
86,14,17,19,21
85,15,18,20,22
84,16,18,20,22
83,17,19,21,23
82,18,19,21,23
81,19,19,22,24
80,20,20,22,24
79,21,20,23,25
78,22,20,23,25
77,23,21,23,25
76,24,21,24,26
75,25,21,24,26
74,26,22,24,26
73,27,22,25,27
72,28,22,25,27
71,29,22,25,27
70,30,23,25,28
69,31,23,26,28
68,32,23,26,28
67,33,23,26,28
66,34,23,26,29
65,35,24,26,29
64,36,24,26,29
63,37,24,27,29
62,38,24,27,29
61,39,24,27,29
60,40,24,27,30
59,41,24,27,30
58,42,24,27,30
57,43,24,27,30
56,44,24,27,30
55,45,25,27,30
54,46,25,27,30
53,47,25,28,30
52,48,25,28,30
51,49,25,28,30
50,50,25,28,30
