c1,c2,c3,c4
1,7,8,9
2,10,11,12
3,12,14,15
4,14,16,17
5,16,18,19
6,17,19,21
7,19,21,23
8,20,22,24
9,21,23,26
10,22,25,27
11,23,26,28
12,24,27,30
13,25,28,31
14,26,29,32
15,27,30,33
16,28,31,34
17,29,32,35
18,29,33,36
19,30,34,37
20,31,35,38
21,32,36,39
22,33,36,40
23,33,37,41
24,34,38,42
25,35,39,42
26,35,40,43
27,36,40,44
28,37,41,45
29,37,42,46
30,38,42,46
31,38,43,47
32,39,44,48
33,40,44,49
34,40,45,49
35,41,46,50
36,41,46,51
37,42,47,51
38,43,48,52
39,43,48,53
40,44,49,54
41,44,50,54
42,45,50,55
43,45,51,55
44,46,51,56
45,46,52,57
46,47,52,57
47,47,53,58
48,48,54,59
49,48,54,59
50,49,55,60
