c1,c2,c3,c4
51,39,44,48
52,40,45,49
53,40,45,49
54,40,45,50
55,41,46,50
56,41,46,51
57,42,47,51
58,42,47,51
59,42,47,52
60,43,48,52
61,43,48,53
62,43,49,53
63,44,49,54
64,44,49,54
65,44,50,54
66,45,50,55
67,45,50,55
68,45,51,56
69,46,51,56
70,46,52,56
71,46,52,57
72,47,52,57
73,47,53,58
74,47,53,58
75,48,53,58
76,48,54,59
77,48,54,59
78,49,54,60
79,49,55,60
80,49,55,60
81,49,55,61
82,50,56,61
83,50,56,61
84,50,56,62
85,51,57,62
86,51,57,62
87,51,57,63
88,52,58,63
89,52,58,64
90,52,58,64
91,52,59,64
92,53,59,65
93,53,59,65
94,53,60,65
95,54,60,66
96,54,60,66
97,54,61,66
98,54,61,67
99,55,61,67
100,55,62,67
