c1,c2,c3,c4,c5
99.9,0.1,0.5,0.6,0.6
99.8,0.2,0.7,0.8,0.9
99.7,0.3,0.9,1,1.1
99.6,0.4,1,1.1,1.2
99.5,0.5,1.1,1.3,1.4
99.4,0.6,1.2,1.4,1.5
99.3,0.7,1.3,1.5,1.6
99.2,0.8,1.4,1.6,1.7
99.1,0.9,1.5,1.7,1.8
99,1,1.6,1.8,1.9
98.5,1.5,1.9,2.2,2.4
98,2,2.2,2.5,2.7
97.5,2.5,2.5,2.8,3.1
97,3,2.7,3,3.3
96.5,3.5,2.9,3.3,3.6
96,4,3.1,3.5,3.8
95.5,4.5,3.3,3.7,4.1
95,5,3.5,3.9,4.3
94,6,3.8,4.2,4.6
93,7,4.1,4.6,5
92,8,4.3,4.8,5.3
91,9,4.6,5.1,5.6
90,10,4.8,5.4,5.9
89,11,5,5.6,6.1
88,12,5.2,5.8,6.4
87,13,5.4,6,6.6
86,14,5.5,6.2,6.8
85,15,5.7,6.4,7
84,16,5.8,6.6,7.2
83,17,6,6.7,7.4
82,18,6.1,6.9,7.5
81,19,6.3,7,7.7
80,20,6.4,7.1,7.8
78,22,6.6,7.4,8.1
76,24,6.8,7.6,8.4
74,26,7,7.8,8.6
72,28,7.2,8,8.8
70,30,7.3,8.2,9
68,32,7.4,8.3,9.1
66,34,7.5,8.5,9.3
64,36,7.6,8.6,9.4
62,38,7.7,8.7,9.5
60,40,7.8,8.8,9.6
58,42,7.9,8.8,9.7
56,44,7.9,8.9,9.7
54,46,7.9,8.9,9.8
52,48,8,8.9,9.8
50,50,8,8.9,9.8
