c1,c2,c3,c4,c5
99.9,0.1,0.5,0.5,0.6
99.8,0.2,0.7,0.8,0.8
99.7,0.3,0.8,0.9,1
99.6,0.4,1,1.1,1.2
99.5,0.5,1.1,1.2,1.3
99.4,0.6,1.2,1.3,1.4
99.3,0.7,1.3,1.4,1.6
99.2,0.8,1.4,1.5,1.7
99.1,0.9,1.4,1.6,1.8
99,1,1.5,1.7,1.9
98.5,1.5,1.9,2.1,2.3
98,2,2.1,2.4,2.6
97.5,2.5,2.4,2.7,2.9
97,3,2.6,2.9,3.2
96.5,3.5,2.8,3.1,3.4
96,4,3,3.4,3.7
95.5,4.5,3.2,3.5,3.9
95,5,3.3,3.7,4.1
94,6,3.6,4.1,4.5
93,7,3.9,4.4,4.8
92,8,4.1,4.6,5.1
91,9,4.4,4.9,5.4
90,10,4.6,5.1,5.6
89,11,4.8,5.4,5.9
88,12,5,5.6,6.1
87,13,5.1,5.8,6.3
86,14,5.3,5.9,6.5
85,15,5.4,6.1,6.7
84,16,5.6,6.3,6.9
83,17,5.7,6.4,7
82,18,5.9,6.6,7.2
81,19,6,6.7,7.4
80,20,6.1,6.8,7.5
78,22,6.3,7.1,7.8
76,24,6.5,7.3,8
74,26,6.7,7.5,8.2
72,28,6.9,7.7,8.4
70,30,7,7.8,8.6
68,32,7.1,8,8.7
66,34,7.2,8.1,8.9
64,36,7.3,8.2,9
62,38,7.4,8.3,9.1
60,40,7.5,8.4,9.2
58,42,7.5,8.4,9.2
56,44,7.6,8.5,9.3
54,46,7.6,8.5,9.3
52,48,7.6,8.6,9.4
50,50,7.6,8.6,9.4
